prompt,regenerations,structure_id
"A car with a flat rectangular roof, vertical window panels on both sides, and defined boxy contours with an angular front and rear design, supported by a blocky understructure.",3,0b0a4be5-7cfa-46d2-aca6-9070dcfac171
Compact car shape with geometric components.,1,af09dc1a-bf90-45a5-996c-74f052a0ad13
Rectangular car body with angular extensions and tiered surfaces.,1,af09dc1a-bf90-45a5-996c-74f052a0ad13
Angular vehicle with a streamlined roof and pronounced rectangular base.,1,af09dc1a-bf90-45a5-996c-74f052a0ad13
"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",1,af09dc1a-bf90-45a5-996c-74f052a0ad13
"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",11,af09dc1a-bf90-45a5-996c-74f052a0ad13
Compact car shape with geometric components.,38,50a9225a-5599-4128-aee9-e716458f102e
Rectangular car body with angular extensions and tiered surfaces.,5,50a9225a-5599-4128-aee9-e716458f102e
Angular vehicle with a streamlined roof and pronounced rectangular base.,16,50a9225a-5599-4128-aee9-e716458f102e
"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",27,50a9225a-5599-4128-aee9-e716458f102e
"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",7,50a9225a-5599-4128-aee9-e716458f102e
Compact car with a blocky form.,19,fe042a53-55db-4885-8e36-02683200f1c4
Compact automobile featuring a block-based rectangular body.,4,fe042a53-55db-4885-8e36-02683200f1c4
"Automobile with a rectangular body, flat roof, and angular sides.",12,fe042a53-55db-4885-8e36-02683200f1c4
"Car with a rectangular body, a flat top, and an angled front. The vehicle has blocky wheels set underneath.",5,fe042a53-55db-4885-8e36-02683200f1c4
"Rectangular car with a flat upper surface and sloped front. The front features a protruding block arrangement, while four square wheels with block edges support the body.",3,fe042a53-55db-4885-8e36-02683200f1c4
Compact car with smooth contours and angular lines.,1,0ea3be70-6bd2-448f-9f96-34ce244bd03f
"Angular car with a flat top, hinted curves, and geometric sides.",8,0ea3be70-6bd2-448f-9f96-34ce244bd03f
"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",0,0ea3be70-6bd2-448f-9f96-34ce244bd03f
"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",2,0ea3be70-6bd2-448f-9f96-34ce244bd03f
"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",11,0ea3be70-6bd2-448f-9f96-34ce244bd03f
Compact car with smooth contours and angular lines.,11,cace7e3a-663a-4990-ae56-293cda033d3c
"Angular car with a flat top, hinted curves, and geometric sides.",32,cace7e3a-663a-4990-ae56-293cda033d3c
"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",8,cace7e3a-663a-4990-ae56-293cda033d3c
"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",5,cace7e3a-663a-4990-ae56-293cda033d3c
"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",6,cace7e3a-663a-4990-ae56-293cda033d3c
"Compact car with a blocky, angular form.",8,62617df7-621f-4bf6-84df-7085055dba16
Brick-based vehicle with a tiered roof and rectangular windows.,4,62617df7-621f-4bf6-84df-7085055dba16
Boxy automobile featuring a layered rear and geometric front grille.,9,62617df7-621f-4bf6-84df-7085055dba16
"Chunky car characterized by stacked bricks forming a two-tier roof, squared-off windows, and a robust grille design.",5,62617df7-621f-4bf6-84df-7085055dba16
"A cuboid car with a tiered roof, comprising rectangular, interlocked sections. Squared windows align symmetrically along the sides, while a segmented grille dominates the front edge, flanked by blocky wheel protrusions, creating a balanced and angular aesthetic.",3,62617df7-621f-4bf6-84df-7085055dba16
"Compact car with a blocky, angular form.",3,a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
Brick-based vehicle with a tiered roof and rectangular windows.,11,a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
Boxy automobile featuring a layered rear and geometric front grille.,2,a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
"Chunky car characterized by stacked bricks forming a two-tier roof, squared-off windows, and a robust grille design.",1,a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
"A cuboid car with a tiered roof, comprising rectangular, interlocked sections. Squared windows align symmetrically along the sides, while a segmented grille dominates the front edge, flanked by blocky wheel protrusions, creating a balanced and angular aesthetic.",12,a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8
"A minimalist car with a compact, boxy structure.",3,dedd8afe-04c6-4e95-b4ed-7df177842bb9
Compact car featuring a rectangular main body and squared edges.,5,dedd8afe-04c6-4e95-b4ed-7df177842bb9
"Car with a box-like body, flat roof, and angular contours.",1,dedd8afe-04c6-4e95-b4ed-7df177842bb9
"Boxy car form with a flat top, square wheels, and protruding front section.",7,dedd8afe-04c6-4e95-b4ed-7df177842bb9
"A rectangular car with a flat roof, vertical front block acting as a bumper, and square wheels integrated beneath. The sides and rear are distinctly flat, while the front section is slightly forward-angled.",14,dedd8afe-04c6-4e95-b4ed-7df177842bb9
"A minimalist car with a compact, boxy structure.",7,37d342d0-3467-43b8-b203-5c2580462327
Compact car featuring a rectangular main body and squared edges.,18,37d342d0-3467-43b8-b203-5c2580462327
"Car with a box-like body, flat roof, and angular contours.",17,37d342d0-3467-43b8-b203-5c2580462327
"Boxy car form with a flat top, square wheels, and protruding front section.",0,37d342d0-3467-43b8-b203-5c2580462327
"A rectangular car with a flat roof, vertical front block acting as a bumper, and square wheels integrated beneath. The sides and rear are distinctly flat, while the front section is slightly forward-angled.",1,37d342d0-3467-43b8-b203-5c2580462327
Compact vehicle with rounded edges and blocky structure.,21,9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
Rectangular car form with rounded corners and layered sections.,2,9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
The car features a block-like shape with a gently sloping front and squared rear.,5,9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
"Boxy car design, rounded corners, elevated rear, layered top detail, and recessed front.",100,9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
"A rectangular car with rounded corners. The front features a slight slope, while the rear is elevated with a blocky appearance. The top consists of several layered sections, and the front incorporates a recessed area with squared elements.",25,9c02a5ff-e92f-4ec1-b3f8-49990e19a6a1
Compact vehicle with rounded edges and blocky structure.,9,22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
Rectangular car form with rounded corners and layered sections.,0,22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
The car features a block-like shape with a gently sloping front and squared rear.,4,22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
"Boxy car design, rounded corners, elevated rear, layered top detail, and recessed front.",4,22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
"A rectangular car with rounded corners. The front features a slight slope, while the rear is elevated with a blocky appearance. The top consists of several layered sections, and the front incorporates a recessed area with squared elements.",2,22f92cf7-89aa-43c9-a60e-ecc3baa6c42d
Compact car with blocky geometric features.,2,5bec0bfc-8136-466e-805f-7e5192f0d719
Car form with angular contours and layered surfaces.,15,5bec0bfc-8136-466e-805f-7e5192f0d719
"Block-shaped car with a flat roof, stepped sides, and protruding front.",0,5bec0bfc-8136-466e-805f-7e5192f0d719
"A compact automobile with a rectangular base, segmented rooftop, and tiered front and rear ends.",2,5bec0bfc-8136-466e-805f-7e5192f0d719
"A small car featuring a boxy body with an angular roof. The sides are constructed with staggered blocks that build toward the top. The front and rear end have a series of gradually receding layers, adding depth to the angular geometry.",33,5bec0bfc-8136-466e-805f-7e5192f0d719
Compact car with blocky geometric features.,26,f4059a6f-0557-4f70-9643-811d78e48065
Car form with angular contours and layered surfaces.,22,f4059a6f-0557-4f70-9643-811d78e48065
"Block-shaped car with a flat roof, stepped sides, and protruding front.",9,f4059a6f-0557-4f70-9643-811d78e48065
"A compact automobile with a rectangular base, segmented rooftop, and tiered front and rear ends.",1,f4059a6f-0557-4f70-9643-811d78e48065
"A small car featuring a boxy body with an angular roof. The sides are constructed with staggered blocks that build toward the top. The front and rear end have a series of gradually receding layers, adding depth to the angular geometry.",5,f4059a6f-0557-4f70-9643-811d78e48065
A basic car shape with a compact structure.,2,3cf62c1e-8026-47b9-bfc4-27664894343c
Compact automobile form with an angular roof and defined edges.,2,3cf62c1e-8026-47b9-bfc4-27664894343c
"Car with an angular rear and prominent, tiered front hood contours.",0,3cf62c1e-8026-47b9-bfc4-27664894343c
"Automotive form featuring a tiered hood, angular roof, and pronounced rear section, with discrete block placements suggesting wheels.",5,3cf62c1e-8026-47b9-bfc4-27664894343c
"A car form with an angular roof, tiered hood, and distinct, elevated rear. It displays pronounced geometric sections, with horizontal and vertical block sequences forming the body and subtle, recessed areas representing wheel arches.",8,3cf62c1e-8026-47b9-bfc4-27664894343c
A basic car shape with a compact structure.,1,977a1644-3d13-42c4-a62c-2649163a30c6
Compact automobile form with an angular roof and defined edges.,10,977a1644-3d13-42c4-a62c-2649163a30c6
"Car with an angular rear and prominent, tiered front hood contours.",4,977a1644-3d13-42c4-a62c-2649163a30c6
"Automotive form featuring a tiered hood, angular roof, and pronounced rear section, with discrete block placements suggesting wheels.",9,977a1644-3d13-42c4-a62c-2649163a30c6
"A car form with an angular roof, tiered hood, and distinct, elevated rear. It displays pronounced geometric sections, with horizontal and vertical block sequences forming the body and subtle, recessed areas representing wheel arches.",2,977a1644-3d13-42c4-a62c-2649163a30c6
"Car with rectangular body, smooth curves, and solid build.",1,ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
"Compact car with smooth curves, flat roof, and even sides.",1,ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
"Car featuring a rectangular and slightly tapered body, smooth curves, and balanced stance.",7,ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
"Rectangular car with flat roof, slightly tapered sides, tiered detailing on the roof, and layered sides.",3,ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
"A compact car with a rectangular body, featuring a flat roof and slightly tapered sides. The roof showcases tiered details, while the sides are layered. The car’s shape is smooth and curves uniformly around the edges, connecting the balanced front and rear sections.",7,ff4086b1-b7f1-4cf5-9c16-1d55d01869ea
"Car with rectangular body, smooth curves, and solid build.",4,ce23086c-1512-4a81-93b6-ce4d7c15afd7
"Compact car with smooth curves, flat roof, and even sides.",13,ce23086c-1512-4a81-93b6-ce4d7c15afd7
"Car featuring a rectangular and slightly tapered body, smooth curves, and balanced stance.",3,ce23086c-1512-4a81-93b6-ce4d7c15afd7
"Rectangular car with flat roof, slightly tapered sides, tiered detailing on the roof, and layered sides.",8,ce23086c-1512-4a81-93b6-ce4d7c15afd7
"A compact car with a rectangular body, featuring a flat roof and slightly tapered sides. The roof showcases tiered details, while the sides are layered. The car’s shape is smooth and curves uniformly around the edges, connecting the balanced front and rear sections.",3,ce23086c-1512-4a81-93b6-ce4d7c15afd7
Compact car form with angular features and layered structure.,5,bea508b3-092a-4be5-999a-802d3f5690f2
"The car exhibits a rectangular body with stacked, tiered elements.",27,bea508b3-092a-4be5-999a-802d3f5690f2
Car features a cubic body with staggered layers and a flat roof.,2,bea508b3-092a-4be5-999a-802d3f5690f2
"The auto has a blocky front, stepped roof, and angular rear.",0,bea508b3-092a-4be5-999a-802d3f5690f2
"This car has a rectangular body, segmented roof, and layered sides. The rear end is slightly raised with protruding edges. The front is angular, composed of flat elements, forming a sloped hood. The sides are tiered, comprising descending layers from the roof to the base.",3,bea508b3-092a-4be5-999a-802d3f5690f2
Compact car form with angular features and layered structure.,7,681b1b36-72b0-4e95-99e0-1f3c70248ccf
"The car exhibits a rectangular body with stacked, tiered elements.",7,681b1b36-72b0-4e95-99e0-1f3c70248ccf
Car features a cubic body with staggered layers and a flat roof.,55,681b1b36-72b0-4e95-99e0-1f3c70248ccf
"The auto has a blocky front, stepped roof, and angular rear.",18,681b1b36-72b0-4e95-99e0-1f3c70248ccf
"This car has a rectangular body, segmented roof, and layered sides. The rear end is slightly raised with protruding edges. The front is angular, composed of flat elements, forming a sloped hood. The sides are tiered, comprising descending layers from the roof to the base.",17,681b1b36-72b0-4e95-99e0-1f3c70248ccf
Car with angular design and rectangular features.,2,e9a88922-ad49-4a0a-b2ef-4d28b2891958
Rectangular car shape with a tiered rooftop and sloped front.,4,e9a88922-ad49-4a0a-b2ef-4d28b2891958
"Car exhibiting a blocky form with an elevated rear, detailed with protruding sections.",1,e9a88922-ad49-4a0a-b2ef-4d28b2891958
"An angular car shape featuring multiple rectangular layers, a raised front end, and a stepped roofline.",6,e9a88922-ad49-4a0a-b2ef-4d28b2891958
"The car has a blocky, geometric form featuring a series of horizontal layers. It sports a slightly elevated front section with a sloping design. Boxy wheel arches dominate each corner, enhancing the angular aesthetic. The roof is tiered and slightly recessed, ending with a defined rear section.",3,e9a88922-ad49-4a0a-b2ef-4d28b2891958
Car with angular design and rectangular features.,1,154f1293-361d-4e9e-91f9-e659b2d195d5
Rectangular car shape with a tiered rooftop and sloped front.,2,154f1293-361d-4e9e-91f9-e659b2d195d5
"Car exhibiting a blocky form with an elevated rear, detailed with protruding sections.",5,154f1293-361d-4e9e-91f9-e659b2d195d5
"An angular car shape featuring multiple rectangular layers, a raised front end, and a stepped roofline.",2,154f1293-361d-4e9e-91f9-e659b2d195d5
"The car has a blocky, geometric form featuring a series of horizontal layers. It sports a slightly elevated front section with a sloping design. Boxy wheel arches dominate each corner, enhancing the angular aesthetic. The roof is tiered and slightly recessed, ending with a defined rear section.",7,154f1293-361d-4e9e-91f9-e659b2d195d5
Compact car with rectangular body and geometric features.,1,9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
Rectangular car form with angular lines and protrusions.,3,9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
"Car with elongated rectangular body, layered top, and structured base.",8,9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
"Rectangular car form featuring a tiered top, angular sides, and defined edges.",13,9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
"Car with a rectangular base, layered top section, angular sides, and distinct geometric elements suggesting details like a roof and bumpers.",10,9e8b7d0f-11a6-4d4e-b9c7-439a717f7520
Compact car with rectangular body and geometric features.,9,e2963b0a-b2a4-4902-9924-d958f79940eb
Rectangular car form with angular lines and protrusions.,4,e2963b0a-b2a4-4902-9924-d958f79940eb
"Car with elongated rectangular body, layered top, and structured base.",3,e2963b0a-b2a4-4902-9924-d958f79940eb
"Rectangular car form featuring a tiered top, angular sides, and defined edges.",33,e2963b0a-b2a4-4902-9924-d958f79940eb
"Car with a rectangular base, layered top section, angular sides, and distinct geometric elements suggesting details like a roof and bumpers.",0,e2963b0a-b2a4-4902-9924-d958f79940eb
Compact car with a rectangular body and distinct contours.,36,98b30096-b482-471d-8a0a-a90b84770a24
Rectangular car with elevated rear section and rounded front edges.,3,98b30096-b482-471d-8a0a-a90b84770a24
"Car with a flat top, sloped windshield, and tiered rear section.",0,98b30096-b482-471d-8a0a-a90b84770a24
"A car featuring a flat top, rectangular sides, and subtly rounded front. The windshield slopes gently towards the front, while the rear section steps down in a tiered fashion, adding distinct layers to the rear profile.",3,98b30096-b482-471d-8a0a-a90b84770a24
"A car with a mainly rectangular body topped by a flat roof. The front is gently rounded, leading into a sloped windshield, producing a streamlined front profile. The rear has two distinct levels, giving the back a stepped appearance. Rectangular indentations on all sides provide additional geometric interest.",2,98b30096-b482-471d-8a0a-a90b84770a24
Compact car with a rectangular body and distinct contours.,11,334e7c6a-4ecb-42fb-9dd2-a17697453864
Rectangular car with elevated rear section and rounded front edges.,1,334e7c6a-4ecb-42fb-9dd2-a17697453864
"Car with a flat top, sloped windshield, and tiered rear section.",3,334e7c6a-4ecb-42fb-9dd2-a17697453864
"A car featuring a flat top, rectangular sides, and subtly rounded front. The windshield slopes gently towards the front, while the rear section steps down in a tiered fashion, adding distinct layers to the rear profile.",6,334e7c6a-4ecb-42fb-9dd2-a17697453864
"A car with a mainly rectangular body topped by a flat roof. The front is gently rounded, leading into a sloped windshield, producing a streamlined front profile. The rear has two distinct levels, giving the back a stepped appearance. Rectangular indentations on all sides provide additional geometric interest.",4,334e7c6a-4ecb-42fb-9dd2-a17697453864
Compact vehicle featuring layered rectangular components.,3,0cb6d2ed-745e-457e-b795-54153b2651d1
"A compact automobile with layered, rectangular elements forming its core.",33,0cb6d2ed-745e-457e-b795-54153b2651d1
Automobile characterized by a rectangular body and tiered sections. The front and rear show a stepped configuration with parallel lines.,4,0cb6d2ed-745e-457e-b795-54153b2651d1
"This compact car has a geometric design with rectangular tiers. Both the front and rear sections consist of stacked, parallel components. Sides feature integrated angular shapes.",2,0cb6d2ed-745e-457e-b795-54153b2651d1
"The car displays a geometric form with layered rectangles, creating a structured layout. The front and rear each exhibit a tiered design, composed of parallel, stepped layers. The sides incorporate interconnected angular elements, contributing to an overall coherent shape.",1,0cb6d2ed-745e-457e-b795-54153b2651d1
Compact vehicle featuring layered rectangular components.,22,93233f08-ae76-4740-990f-34b18a1b4f66
"A compact automobile with layered, rectangular elements forming its core.",10,93233f08-ae76-4740-990f-34b18a1b4f66
Automobile characterized by a rectangular body and tiered sections. The front and rear show a stepped configuration with parallel lines.,14,93233f08-ae76-4740-990f-34b18a1b4f66
"This compact car has a geometric design with rectangular tiers. Both the front and rear sections consist of stacked, parallel components. Sides feature integrated angular shapes.",2,93233f08-ae76-4740-990f-34b18a1b4f66
"The car displays a geometric form with layered rectangles, creating a structured layout. The front and rear each exhibit a tiered design, composed of parallel, stepped layers. The sides incorporate interconnected angular elements, contributing to an overall coherent shape.",11,93233f08-ae76-4740-990f-34b18a1b4f66
Compact car with rounded roof and structured sides.,18,20f12161-0cd4-41bd-875d-714f60e57cd2
"The vehicle features a smooth, curved top and squared sides.",23,20f12161-0cd4-41bd-875d-714f60e57cd2
"Car body showcases a rounded roofline, uniform blocks, and angular edges.",1,20f12161-0cd4-41bd-875d-714f60e57cd2
"Automobile with a gently arched roof, rectangular sides, and tiered rear.",19,20f12161-0cd4-41bd-875d-714f60e57cd2
"The car features a gently curved top with a tiered back section, rectangular sides, and a uniform block layout on the roof and side frames.",14,20f12161-0cd4-41bd-875d-714f60e57cd2
Compact vehicle with blocky geometric contours.,5,65b14898-9992-41ef-ad0a-9fb8b6b156ec
Rectangular vehicle with squared edges and segmented structure.,2,65b14898-9992-41ef-ad0a-9fb8b6b156ec
Boxy car shape with tiered layers and rows of small projections.,9,65b14898-9992-41ef-ad0a-9fb8b6b156ec
"Rectangular car form with a blocky roof and small vertical projections on top, overhanging the main body.",1,65b14898-9992-41ef-ad0a-9fb8b6b156ec
"Box-shaped car with a prominent top, defined by small vertical peaks, and the bottom section slightly recessed, creating noticeable edges along the rectangular body.",3,65b14898-9992-41ef-ad0a-9fb8b6b156ec
Compact car with angular build and distinct geometric lines.,34,1ee0d55a-fb75-46d8-8743-6ebf731c15ec
"The car displays a rectangular body with defined, sharp edges.",8,1ee0d55a-fb75-46d8-8743-6ebf731c15ec
An angular car featuring a block-like structure with prominent squared contours.,8,1ee0d55a-fb75-46d8-8743-6ebf731c15ec
"The vehicle is composed of a layered, angular form with a flat top and consistent geometric lines throughout its body.",4,1ee0d55a-fb75-46d8-8743-6ebf731c15ec
"This car consists of a rectangular base with layered, block-like sections creating a boxy appearance. The front and back are squared with consistent proportionality along the sides, and the top surface is flat and segmented, contributing to its distinctive geometric form.",5,1ee0d55a-fb75-46d8-8743-6ebf731c15ec
Compact car with angular build and distinct geometric lines.,1,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
"The car displays a rectangular body with defined, sharp edges.",33,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
An angular car featuring a block-like structure with prominent squared contours.,8,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
"The vehicle is composed of a layered, angular form with a flat top and consistent geometric lines throughout its body.",11,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
"This car consists of a rectangular base with layered, block-like sections creating a boxy appearance. The front and back are squared with consistent proportionality along the sides, and the top surface is flat and segmented, contributing to its distinctive geometric form.",1,d3bc6e20-7da0-4335-9ebe-50d243c5fbbe
"Toy car with blocky, angular shape and prominent front.",9,32fec060-363a-45cf-b604-9d8e02ef43a3
Rectangular toy car with squared front and layered blocks.,13,32fec060-363a-45cf-b604-9d8e02ef43a3
Blocky toy car featuring a rectangular body and tiered structure.,28,32fec060-363a-45cf-b604-9d8e02ef43a3
"Robust toy car with a cubic form, layered roof section, and protruding front.",30,32fec060-363a-45cf-b604-9d8e02ef43a3
"A toy car comprised of rectangular sections, block-by-block, with an angular roof, distinct square front, and slightly elevated rear, showcasing its overall cuboid geometry.",0,32fec060-363a-45cf-b604-9d8e02ef43a3
"Toy car with blocky, angular shape and prominent front.",4,348ec7b7-945c-4206-b901-f449f1fe39a6
Rectangular toy car with squared front and layered blocks.,6,348ec7b7-945c-4206-b901-f449f1fe39a6
Blocky toy car featuring a rectangular body and tiered structure.,5,348ec7b7-945c-4206-b901-f449f1fe39a6
"Robust toy car with a cubic form, layered roof section, and protruding front.",8,348ec7b7-945c-4206-b901-f449f1fe39a6
"A toy car comprised of rectangular sections, block-by-block, with an angular roof, distinct square front, and slightly elevated rear, showcasing its overall cuboid geometry.",4,348ec7b7-945c-4206-b901-f449f1fe39a6
"Compact car with a blocky, geometric form.",0,4fc8d070-79f3-41d4-a182-61a7a1e91c86
Blocky vehicle featuring rounded edges and layered surfaces.,0,4fc8d070-79f3-41d4-a182-61a7a1e91c86
"Geometric car with a tiered roof, sloped front, and squared rear.",4,4fc8d070-79f3-41d4-a182-61a7a1e91c86
"Car with a rectangular body, sloped hood, tiered roof, and angular rear corners.",5,4fc8d070-79f3-41d4-a182-61a7a1e91c86
"A compact car with squared edges, a step-like roof, inclined hood, flat side panels, and a blocky rear. The roof is three stepped layers, while the rear and front are slightly recessed with protruding details for the hood and trunk areas.",4,4fc8d070-79f3-41d4-a182-61a7a1e91c86
"Compact car with a blocky, geometric form.",1,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
Blocky vehicle featuring rounded edges and layered surfaces.,14,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
"Geometric car with a tiered roof, sloped front, and squared rear.",10,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
"Car with a rectangular body, sloped hood, tiered roof, and angular rear corners.",23,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
"A compact car with squared edges, a step-like roof, inclined hood, flat side panels, and a blocky rear. The roof is three stepped layers, while the rear and front are slightly recessed with protruding details for the hood and trunk areas.",6,1dbbeaef-bb28-4d8c-bb9b-9194007eb6fc
Compact toy vehicle with angular body and simple form.,5,68229605-9453-49e1-91a4-d8c766a60a38
"Toy automobile with blocky body, prominent wheels, and minimalist roof.",2,68229605-9453-49e1-91a4-d8c766a60a38
"Brick-like vehicle featuring angular sides, rectangular roof panel, and rounded front.",3,68229605-9453-49e1-91a4-d8c766a60a38
"Toy car with a layered body, distinct cuboid cabin, cylindrical exhaust, and tiered rear end.",8,68229605-9453-49e1-91a4-d8c766a60a38
"Constructed vehicle with an angular, layered body; the cabin sits centrally. The rear is more elevated with a cylindrical exhaust, and the front has a slightly rounded shape with distinct angles, suggesting a hood. The sides are flat with an even, block-like structure.",2,68229605-9453-49e1-91a4-d8c766a60a38
Compact toy vehicle with angular body and simple form.,14,98bb61c1-5bca-42cc-9739-53a64c3dd976
"Toy automobile with blocky body, prominent wheels, and minimalist roof.",10,98bb61c1-5bca-42cc-9739-53a64c3dd976
"Brick-like vehicle featuring angular sides, rectangular roof panel, and rounded front.",12,98bb61c1-5bca-42cc-9739-53a64c3dd976
"Toy car with a layered body, distinct cuboid cabin, cylindrical exhaust, and tiered rear end.",13,98bb61c1-5bca-42cc-9739-53a64c3dd976
"Constructed vehicle with an angular, layered body; the cabin sits centrally. The rear is more elevated with a cylindrical exhaust, and the front has a slightly rounded shape with distinct angles, suggesting a hood. The sides are flat with an even, block-like structure.",22,98bb61c1-5bca-42cc-9739-53a64c3dd976
Compact car with angular features and layered structure.,6,8086477b-f21e-4d4b-b475-914ac36fcd48
A small car with a blocky front segment and streamlined rear.,27,8086477b-f21e-4d4b-b475-914ac36fcd48
"Compact car design includes a distinct hood, a low roofline, and tapered rear.",9,8086477b-f21e-4d4b-b475-914ac36fcd48
"The car includes a solid base, a sloped front area, segmented roof, and raised rear section.",5,8086477b-f21e-4d4b-b475-914ac36fcd48
